# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
8.675,6.9,6.4,6.2,11.3
8.700,6.9,6.4,6.2,11.3
8.725,6.9,6.8,6.2,11.5
8.750,6.9,6.8,6.2,11.5
8.775,6.9,6.8,6.2,11.5
8.800,6.8,6.9,6.1,11.4
8.825,6.8,6.9,6.1,11.4
8.850,6.8,6.9,6.1,11.4
8.875,6.8,6.9,6.1,11.4
8.900,6.9,6.7,6.2,11.4
8.925,6.9,6.7,6.2,11.4
8.950,6.9,6.7,6.2,11.4
8.975,6.9,6.7,6.2,11.4
9.000,6.8,6.1,6.1,11.0
9.025,6.8,6.1,6.1,11.0
9.050,6.8,6.1,6.1,11.0
9.075,6.8,6.1,6.1,11.0
9.100,6.8,5.9,6.1,10.9
9.125,6.8,5.9,6.1,10.9
9.150,6.8,5.8,6.1,10.8
9.175,6.8,5.8,6.1,10.8
9.200,6.8,5.8,6.1,10.8
9.225,6.8,5.8,6.1,10.8
9.250,6.8,6.0,6.1,11.0
9.275,6.8,6.0,6.1,11.0
9.300,6.8,6.0,6.1,11.0
9.325,6.8,6.0,6.1,11.0
9.350,6.9,6.5,6.2,11.3
9.375,6.9,6.5,6.2,11.3
9.400,6.9,6.5,6.2,11.3
9.425,6.9,6.5,6.2,11.3
9.450,6.8,6.8,6.2,11.4
9.475,6.8,6.8,6.2,11.4
9.500,6.8,6.8,6.2,11.4
9.525,6.8,6.8,6.2,11.4
9.550,6.8,6.8,6.2,11.5
9.575,6.8,6.8,6.2,11.5
9.600,6.8,6.8,6.2,11.5
9.625,6.9,6.5,6.2,11.3
9.650,6.9,6.5,6.2,11.3
9.675,6.9,6.5,6.2,11.3
9.700,6.9,6.5,6.2,11.3
9.725,6.8,6.0,6.3,11.1
9.750,6.8,6.0,6.3,11.1
9.775,6.8,6.0,6.3,11.1
9.800,6.8,6.0,6.3,11.1
9.825,6.9,5.8,6.3,11.0
9.850,6.9,5.8,6.3,11.0
9.875,6.9,5.8,6.3,11.0
9.900,6.9,5.8,6.3,11.0
9.925,6.9,5.8,6.3,10.9
9.950,6.9,5.8,6.3,10.9
9.975,6.9,5.8,6.3,10.9
10.000,6.9,5.8,6.3,10.9
10.025,6.9,6.2,6.3,11.2
10.050,6.9,6.2,6.3,11.2
10.075,6.9,6.2,6.3,11.2
10.100,6.9,6.2,6.3,11.2
10.125,6.9,6.6,6.2,11.3
10.150,6.9,6.6,6.2,11.3
10.175,6.9,6.6,6.2,11.3
10.200,6.9,6.6,6.2,11.3
10.225,6.8,6.8,6.1,11.4
